timestamp.0,integration_long.0,integration_long.1,integration_long.2,integration_long.3,integration_long.4,integration_long.5,integration_long.6,integration_long.7,integration_long.8,integration_long.9,integration_long.10,integration_long.11,integration_long.12,integration_long.13,integration_long.14,integration_long.15,integration_short.0,integration_short.1,integration_short.2,integration_short.3,integration_short.4,integration_short.5,integration_short.6,integration_short.7,integration_short.8,integration_short.9,integration_short.10,integration_short.11,integration_short.12,integration_short.13,integration_short.14,integration_short.15,
0.00449659,,10409.1,,,,,,,,,,,,,,,,6570.2,,,,,,,,,,,,,,,
0.00450733,,9413.14,,,,,,,,,,,,,,,,5707.89,,,,,,,,,,,,,,,
0.0045088,,9231.96,,,,,,,,,,,,,,,,5410.97,,,,,,,,,,,,,,,
0.00451996,,,6794.75,,,,,,,,,,,,,,,,4840.92,,,,,,,,,,,,,,
0.00453822,,6057.35,,,,,,,,,,,,,,,,3697.84,,,,,,,,,,,,,,,
0.00453982,,9872.18,,,,,,,,,,,,,,,,6953.49,,,,,,,,,,,,,,,
0.00454428,,4089.26,,,,,,,,,,,,,,,,2626.7,,,,,,,,,,,,,,,
0.00454672,,7016,,,,,,,,,,,,,,,,4353.75,,,,,,,,,,,,,,,
0.00454898,,7483,,,,,,,,,,,,,,,,4881.39,,,,,,,,,,,,,,,
0.00455657,,4360.04,,,,,,,,,,,,,,,,2653.83,,,,,,,,,,,,,,,
0.00456407,,14226.7,,,,,,,,,,,,,,,,9207.71,,,,,,,,,,,,,,,
0.00456506,,0.532878,,,,,,,,,,,,,,,,2798.27,,,,,,,,,,,,,,,
0.00457102,,3675.58,,,,,,,,,,,,,,,,2555.6,,,,,,,,,,,,,,,
0.00457204,,0.517033,,,,,,,,,,,,,,,,2364.19,,,,,,,,,,,,,,,
0.00457508,,6363.48,,,,,,,,,,,,,,,,3907.65,,,,,,,,,,,,,,,
0.00459975,,5887.69,,,,,,,,,,,,,,,,3706.97,,,,,,,,,,,,,,,
0.00462775,,2965.63,,,,,,,,,,,,,,,,1770.79,,,,,,,,,,,,,,,
0.00462839,,7995.23,,,,,,,,,,,,,,,,5175.71,,,,,,,,,,,,,,,
0.00465216,,3145.1,,,,,,,,,,,,,,,,1800.33,,,,,,,,,,,,,,,
0.00465351,,4748.02,,,,,,,,,,,,,,,,2991.86,,,,,,,,,,,,,,,
0.00467764,,5028.92,,,,,,,,,,,,,,,,3052.66,,,,,,,,,,,,,,,
0.00469492,,2958.39,,,,,,,,,,,,,,,,2001.57,,,,,,,,,,,,,,,
0.00470294,,9915.95,,,,,,,,,,,,,,,,6281.2,,,,,,,,,,,,,,,
0.0047039,,5378.39,,,,,,,,,,,,,,,,3493.61,,,,,,,,,,,,,,,
0.00472326,,4018.54,,,,,,,,,,,,,,,,2555.49,,,,,,,,,,,,,,,
0.00472588,,9329.13,,,,,,,,,,,,,,,,6058.65,,,,,,,,,,,,,,,
0.00473276,,9178.15,,,,,,,,,,,,,,,,6489.49,,,,,,,,,,,,,,,
0.00473778,,15576.9,,,,,,,,,,,,,,,,10056.9,,,,,,,,,,,,,,,
0.00473992,,11280,,,,,,,,,,,,,,,,7531.48,,,,,,,,,,,,,,,
0.00474385,,5324.75,,,,,,,,,,,,,,,,3877.52,,,,,,,,,,,,,,,
0.00475103,,8356.86,,,,,,,,,,,,,,,,5097.67,,,,,,,,,,,,,,,
0.00476191,,4579.94,,,,,,,,,,,,,,,,2775.16,,,,,,,,,,,,,,,
0.00477549,,12924.4,,,,,,,,,,,,,,,,8334.67,,,,,,,,,,,,,,,
0.00477729,,12257,,,,,,,,,,,,,,,,4314.14,,,,,,,,,,,,,,,
0.00477835,,0.517528,,,,,,,,,,,,,,,,7992.74,,,,,,,,,,,,,,,
0.00478134,,8424.26,,,,,,,,,,,,,,,,5677.18,,,,,,,,,,,,,,,
0.00478699,,20708.5,,,,,,,,,,,,,,,,13644.5,,,,,,,,,,,,,,,
0.0047958,,7154.37,,,,,,,,,,,,,,,,4414.66,,,,,,,,,,,,,,,
0.00480684,,15189,,,,,,,,,,,,,,,,9802.41,,,,,,,,,,,,,,,
0.00480831,,9217.23,,,,,,,,,,,,,,,,6027.48,,,,,,,,,,,,,,,
0.00481134,,4773.81,,,,,,,,,,,,,,,,3019.41,,,,,,,,,,,,,,,
0.00482406,,6940.93,,,,,,,,,,,,,,,,4306.05,,,,,,,,,,,,,,,
0.00482625,,12964.5,,,,,,,,,,,,,,,,8500.1,,,,,,,,,,,,,,,
0.00482713,,3136.12,,,,,,,,,,,,,,,,2339.09,,,,,,,,,,,,,,,
0.00483257,,3428.95,,,,,,,,,,,,,,,,2310.04,,,,,,,,,,,,,,,
0.00483784,,12733.1,,,,,,,,,,,,,,,,8314.16,,,,,,,,,,,,,,,
0.00483975,,6849.56,,,,,,,,,,,,,,,,4586.23,,,,,,,,,,,,,,,
0.00484914,,4698.04,,,,,,,,,,,,,,,,2882.75,,,,,,,,,,,,,,,
0.00485069,,11789.6,18378.9,,,,,,,,,,,,,,,7361.25,12394.9,,,,,,,,,,,,,,
0.00485202,,3720.5,,,,,,,,,,,,,,,,2587,,,,,,,,,,,,,,,
0.00486423,,10314.4,,,,,,,,,,,,,,,,6561.2,,,,,,,,,,,,,,,
0.00486929,,4945.06,,,,,,,,,,,,,,,,2903.11,,,,,,,,,,,,,,,
0.00487097,,4764.68,,,,,,,,,,,,,,,,2952.41,,,,,,,,,,,,,,,
0.00487432,,9473.96,,,,,,,,,,,,,,,,6110.59,,,,,,,,,,,,,,,
0.0048842,,2583.21,,,,,,,,,,,,,,,,1673.73,,,,,,,,,,,,,,,
0.00488642,,28022.5,,,,,,,,,,,,,,,,10684.3,,,,,,,,,,,,,,,
0.00490449,,4512.77,,,,,,,,,,,,,,,,2829,,,,,,,,,,,,,,,
0.00491522,,5555.49,,,,,,,,,,,,,,,,3531.5,,,,,,,,,,,,,,,
0.00492564,,4183.2,,,,,,,,,,,,,,,,2562.3,,,,,,,,,,,,,,,
0.00492675,,10189.3,,,,,,,,,,,,,,,,6522.14,,,,,,,,,,,,,,,
0.0049278,,4293.16,,,,,,,,,,,,,,,,3061.42,,,,,,,,,,,,,,,
0.00492883,,0.192593,,,,,,,,,,,,,,,,3143,,,,,,,,,,,,,,,
0.00494125,,6886.86,,,,,,,,,,,,,,,,4306.94,,,,,,,,,,,,,,,
0.00494545,,7899.64,,,,,,,,,,,,,,,,4972.89,,,,,,,,,,,,,,,
0.0049465,,21318,,,,,,,,,,,,,,,,6835.83,,,,,,,,,,,,,,,
0.00494915,,5791.59,,,,,,,,,,,,,,,,1942.86,,,,,,,,,,,,,,,
0.00495119,,6827.92,,,,,,,,,,,,,,,,4738.21,,,,,,,,,,,,,,,
0.00495485,,30283,,,,,,,,,,,,,,,,2484.02,,,,,,,,,,,,,,,
0.00496097,,16212.5,,,,,,,,,,,,,,,,10721.8,,,,,,,,,,,,,,,
0.00496763,,3175.38,,,,,,,,,,,,,,,,2187.98,,,,,,,,,,,,,,,
0.0049692,,10543.7,,,,,,,,,,,,,,,,6723.87,,,,,,,,,,,,,,,
0.00498643,,6214.27,,,,,,,,,,,,,,,,3889.44,,,,,,,,,,,,,,,
0.00499692,,4640.81,,,,,,,,,,,,,,,,2194.36,,,,,,,,,,,,,,,
0.00499768,,0.338405,,,,,,,,,,,,,,,,13656.7,,,,,,,,,,,,,,,
0.00500209,,4194.39,,,,,,,,,,,,,,,,2570.84,,,,,,,,,,,,,,,
0.00500814,,3651.96,,,,,,,,,,,,,,,,2172.52,,,,,,,,,,,,,,,
0.00501243,,3816.6,,,,,,,,,,,,,,,,2353.47,,,,,,,,,,,,,,,
0.0050174,,13939.1,,,,,,,,,,,,,,,,8955.37,,,,,,,,,,,,,,,
0.0050256,,4600.16,,,,,,,,,,,,,,,,2782.56,,,,,,,,,,,,,,,
0.00503581,,3090.25,,,,,,,,,,,,,,,,1984.53,,,,,,,,,,,,,,,
0.00503698,,5166.48,,,,,,,,,,,,,,,,3225.52,,,,,,,,,,,,,,,
0.00503952,,7919.34,,,,,,,,,,,,,,,,5036.4,,,,,,,,,,,,,,,
0.00504205,,7177.75,,,,,,,,,,,,,,,,4591.91,,,,,,,,,,,,,,,
0.00504646,,7004.4,,,,,,,,,,,,,,,,4385.94,,,,,,,,,,,,,,,
0.00504744,,2915.65,,,,,,,,,,,,,,,,1832.57,,,,,,,,,,,,,,,
0.0050704,,3800.59,,,,,,,,,,,,,,,,2533.55,,,,,,,,,,,,,,,
